Kategori,Isi Berita,Link
,"

TV Digital Per April, Syarat Set Top Box Sertifikasi Pemerintah Miliki Fitur Mitigasi Bencana 
",https://www.tribunnews.com/techno/2022/02/18/tv-digital-per-april-syarat-set-top-box-sertifikasi-pemerintah-miliki-fitur-mitigasi-bencana
,"

Kemkominfo Sarankan Masyarakat Gunakan STB Bersertifikat untuk Migrasi ke Siaran TV Digital 
",https://www.tribunnews.com/techno/2022/02/18/kemkominfo-sarankan-masyarakat-gunakan-stb-bersertifikat-untuk-migrasi-ke-siaran-tv-digital
Apps,"

KODE Redeem Free Fire Terbaru Hari Ini Jumat, 18 Februari 2022, Perhatikan Hal-hal Ini saat Klaim 
",https://www.tribunnews.com/techno/2022/02/18/kode-redeem-free-fire-terbaru-hari-ini-jumat-18-februari-2022-perhatikan-hal-hal-ini-saat-klaim
,"

9 Bulan Lagi Siaran TV Analog di Indonesia Berakhir, Berikut Tahapannya 
",https://www.tribunnews.com/techno/2022/02/18/9-bulan-lagi-siaran-tv-analog-di-indonesia-berakhir-berikut-tahapannya
Gadget,"

Realme 9 Pro+ Edisi Free Fire Akan Dirilis? 
",https://www.tribunnews.com/techno/2022/02/18/realme-9-pro-edisi-free-fire-akan-dirilis
,"

iPhone 14 Pro Dirumorkan akan Gunakan RAM 8GB 
",https://www.tribunnews.com/techno/2022/02/18/iphone-14-pro-dirumorkan-akan-gunakan-ram-8gb
Apps,"

KODE Redeem FF Jumat, 18 Februari 2022, Perhatikan Cara Klaim Kodenya Melalui reward.ff.garena.com 
",https://www.tribunnews.com/techno/2022/02/18/kode-redeem-ff-jumat-18-februari-2022-perhatikan-cara-klaim-kodenya-melalui-rewardffgarenacom
Gadget,"

Bedah Teknologi Realme 9 Pro+, Kamera Smartphone Mid-Range Rasa Flagship 
",https://www.tribunnews.com/techno/2022/02/18/bedah-teknologi-realme-9-pro-kamera-smartphone-mid-range-rasa-flagship
News,"

Taiwan Bikin RUU Khusus Demi Antisipasi Rahasia Semikonduktornya Dicuri China 
",https://www.tribunnews.com/techno/2022/02/18/taiwan-bikin-ruu-khusus-demi-antisipasi-rahasia-semikonduktornya-dicuri-china
Apps,"

Lima Startup Berkesempatan Berkolaborasidan Pemanfaatan Teknologi di Tinc Batch 7 
",https://www.tribunnews.com/techno/2022/02/18/lima-startup-berkesempatan-berkolaborasidan-pemanfaatan-teknologi-di-tinc-batch-7
Apps,"

WhatsApp iOS Luncurkan Fitur Mendengarkan Pesan Suara di Obrolan Berbeda 
",https://www.tribunnews.com/techno/2022/02/18/whatsapp-ios-luncurkan-fitur-mendengarkan-pesan-suara-di-obrolan-berbeda
Apps,"

Twitter Rilis Fitur Penyemat Percakapan Lewat DM di Platform Android, iOS dan Web 
",https://www.tribunnews.com/techno/2022/02/18/twitter-rilis-fitur-penyemat-percakapan-lewat-dm-di-platform-android-ios-dan-web
Apps,"

Waspada, Peretas Kripto Sudah Merambah Telegram 
",https://www.tribunnews.com/techno/2022/02/18/waspada-peretas-kripto-sudah-merambah-telegram
News,"

Leap Telkom Digital Kembali Adakan Indigo Game Startup Incubation 
",https://www.tribunnews.com/techno/2022/02/17/leap-telkom-digital-kembali-adakan-indigo-game-startup-incubation
,"

Twitter Tambahkan Label Khusus ke Akun Bot Resmi 
",https://www.tribunnews.com/techno/2022/02/17/twitter-tambahkan-label-khusus-ke-akun-bot-resmi
News,"

Hanya Sekali Klik, Chrome OS Bisa Ubah Tampilan PC dan Mac Lawas Jadi Chromebook 
",https://www.tribunnews.com/techno/2022/02/17/hanya-sekali-klik-chrome-os-bisa-ubah-tampilan-pc-dan-mac-lawas-jadi-chromebook
,"

Virgin Galactic Wujudkan Impian Anda Berwisata ke Luar Angkasa, Siapkan Kocek Senilai Rp 6,4 Miliar 
",https://www.tribunnews.com/techno/2022/02/17/virgin-galactic-wujudkan-impian-anda-berwisata-ke-luar-angkasa-siapkan-kocek-senilai-rp-64-miliar
News,"

Incar Posisi Nomor 1, Realme Akan Terus Merangsek Lewat Seri Flagship 
",https://www.tribunnews.com/techno/2022/02/17/incar-posisi-nomor-1-realme-akan-terus-merangsek-lewat-seri-flagship
Apps,"

Spotify Mengakuisisi Dua Platform Teknologi Podcast, Chartable dan Podsights 
",https://www.tribunnews.com/techno/2022/02/17/spotify-mengakuisisi-dua-platform-teknologi-podcast-chartable-dan-podsights
Gadget,"

iPhone 6 Plus Masuk 'Vintage List' Apple, Apa Artinya? 
",https://www.tribunnews.com/techno/2022/02/17/iphone-6-plus-masuk-vintage-list-apple-apa-artinya
Apps,"

KODE Redeem Free Fire Terbaru Hari Ini Kamis, 17 Februari 2022, Perhatikan Hal-hal Ini saat Klaim 
",https://www.tribunnews.com/techno/2022/02/17/kode-redeem-free-fire-terbaru-hari-ini-kamis-17-februari-2022-perhatikan-hal-hal-ini-saat-klaim
